Region,SKU,Models,ProcessID,MAPE,VariableListID,ParameterID,ThresID
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,ARIMA,1,0.23963116237347531,2,1,1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,Lasso,1,0.7134008245595275,1,2,1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,RandomForest,1,0.17754638281376436,1,3,1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,GradientBoosting,1,0.21664983848083394,1,4,1
PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G,Prophet,1,21.249589980351285,2,5,1
LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g,Lasso,2,1.172171630852733,1,2,1
LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g,RandomForest,2,1.3269147127435958,1,3,1
LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g,GradientBoosting,2,1.2592696869910172,1,4,1
