Maximum,Mean,Median,Minimum,Null_Count,Quantile_25,Quantile_75,Std_Dev,Unique_values,VariableName,prof_quant_25,prof_quant_75,prof_std,Date,Time,ProcessID,Data_Stage,Region,SKU
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lag_1,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lagdiff_1_2,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,freeitems_lag_4,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,unit_lag_2,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg_lag_2,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
50.77436,48.71882294117646,47.39267,47.39267,0,47.39267,50.77436,1.6551087195344598,0,max_con_price_per_gram,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
12162500.0,3184665.1960784313,2410800.0,3500.0,0,553700.0,4505200.0,2991741.6736224275,0,media_lag_4,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
48.06802,47.501990196078374,47.16591,47.16591,0,47.16591,48.06802,0.4372282104550163,0,price_lag_4,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,unit,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,max_unit,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,avg_kg,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lag_2,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lagdiff_2_3,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,freeitems_lagdiff_1_2,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,unit_lag_3,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg_lag_3,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
7343000.0,9312.745098039215,0.0,-3662400.0,0,0.0,0.0,1123356.1140834116,0,media_lagdiff_1_2,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.90211,0.004422107843137255,0.0,0.0,0,0.0,0.0,0.06316033333012537,0,price_lagdiff_1_2,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,max_kg,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,incentive_applied_pop_count_lag_1,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lagdiff_3_4,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,freeitems_lagdiff_2_3,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,unit_lag_4,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg_lag_4,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
7343000.0,9312.745098039215,0.0,-3662400.0,0,0.0,0.0,1123356.1140834105,0,media_lagdiff_2_3,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.90211,0.004422107843137255,0.0,0.0,0,0.0,0.0,0.06316033333012527,0,price_lagdiff_2_3,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,min_bonus,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,incentive_applied_pop_count_lag_2,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,freeitems_lag_1,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,min_unit,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,min_kg,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg_lagdiff_3_4,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg_lagdiff_2_3,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.937,0.24833823529411772,0.23399999999999999,0.004,0,0.1505,0.3105,0.14015318258952927,0,tons,,,,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,kg_flag,0.0,0.0,0.0,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,bonus_flag,0.0,0.0,0.0,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,freeItems_flag,0.0,0.0,0.0,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,unit_flag,0.0,0.0,0.0,2020-08-11,19:22:00.162457,2,Processed,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
