Maximum,Mean,Median,Minimum,Null_Count,Quantile_25,Quantile_75,Std_Dev,Unique_values,VariableName,prof_quant_25,prof_quant_75,prof_std,Date,Time,ProcessID,Data_Stage,Region,SKU
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lag_1,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lagdiff_1_2,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,freeitems_lag_4,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,unit_lag_2,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg_lag_2,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
50.77436,48.69332,47.39267,47.39267,0,47.39267,50.77436,1.6491757165323522,0,max_con_price_per_gram,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
12162500.0,3184665.1960784313,2410800.0,3500.0,4,553700.0,4505200.0,2991741.6736224275,0,media_lag_4,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
48.06802,47.49552711538456,47.16591,47.16591,0,47.16591,48.06802,0.43544811871242467,0,price_lag_4,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,unit,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,max_unit,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,avg_kg,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lag_2,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lagdiff_2_3,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,freeitems_lagdiff_1_2,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,unit_lag_3,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg_lag_3,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
7343000.0,9222.330097087379,0.0,-3662400.0,2,0.0,0.0,1117863.2720120861,0,media_lagdiff_1_2,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.90211,0.004337067307692307,0.0,0.0,0,0.0,0.0,0.06255007425209268,0,price_lagdiff_1_2,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,max_kg,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,incentive_applied_pop_count_lag_1,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lagdiff_3_4,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
